ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
AN8068571086,SCHLUMBERGER,,,,53.65,23.33,0,0,40.7,62.87,62.9,65.99,53.17,55.02,64.03,64.75,75.71,71.54,73.65,85.87,81.71,80.89,78.25,87.8,86.1
AT000000STR1,STRABAG SE,,,,,,,,,3.81,22.87,30.9,44.29,58.66,49.97,50.09,48.69,55.55,56.98,58.49,64.61,62.49,60.42,58.09,56.89
AT00000VIE62,FLUGHAFEN WIEN,,,,,18.31,27.55,10.48,4.84,1.31,23.14,31.84,28.27,31.09,30.45,27.17,34.81,51.84,47.48,78.01,76.99,71.53,75,78.49,
AT0000606306,RAIFFEISEN BANK INTL.,,,,,,,25.56,23.63,18.32,41.52,37.08,66.61,66.05,66.84,68.68,73.75,75.14,82.52,82.94,61.29,63.22,61.36,62.62,61.64
AT0000652011,ERSTE GROUP BANK,,,,27.08,24.6,25.81,25.56,30.64,54.81,61.22,74.29,70.81,84.47,83.02,83.81,79.57,81.98,83.86,87.2,80.89,81.18,79.44,76.58,76.91
AT0000720008,TELEKOM AUSTRIA,,,,,,,19.97,23.83,37.76,77.76,85.48,78.31,75.08,66.94,71.34,73.61,73.82,62.69,63.56,63.59,64.3,64.79,59.94,59.8
AT0000730007,ANDRITZ,,,,70.16,35.72,58.85,3.99,18.49,24.67,21.1,45.53,50.59,43.91,53.18,54.31,62.49,67.44,70,72.81,68.44,77.19,75.84,77.52,77.56
AT0000743059,OMV,,,,39.09,40.61,52.51,42.24,35.97,34.03,52.86,64.66,63.4,72.96,76.24,72.37,61.29,61.11,66.68,65.86,65.18,66.14,75.46,76.95,76.63
AT0000746409,VERBUND,,,,,,,18.94,13.52,38.47,73.42,67.51,76.45,74.23,72.24,81.88,83.45,85.74,91.43,90.78,89.56,93.51,93.02,88.44,87.57
AT0000831706,WIENERBERGER,,,,35.25,54.09,28.99,35.85,17.29,48.45,34.94,58.72,61.92,63.01,62.76,67.09,72.18,78.38,79.53,74.39,84.17,83.03,75.39,68.49,68.82
AT0000908504,VIENNA INSURANCE GROUP A,,,,,,28.33,27.21,26.86,22.98,49.1,46.46,47.6,21.13,20.27,20.88,20.71,21.92,57.39,60.18,29.94,31.79,66.56,65.33,67.57
AT0000937503,VOESTALPINE,,,,1.94,22.12,0,5.89,14.73,30.04,18.56,44.29,45,59.22,58.59,57.29,59.23,55.62,67.11,61.82,64.25,68.81,69.38,69.09,72.57
AT0000938204,MAYR-MELNHOF KARTON,,,,,,10.87,21.52,25.43,21.4,19.09,18.81,14.62,27.47,22.78,25.77,25.29,20.57,28.66,31.51,27.58,29.34,32.54,40.42,45.05
AT0000A21KS2,IMMOFINANZ,,,,0,0,0,0,0,0,0,0,12.04,13.24,19.84,24.99,19.84,23.57,31.3,32.8,50.95,37.18,45.03,46.6,75.57
AU000000ALL7,ARISTOCRAT LEISURE,,,,,,0,0,0,0,5.43,4.61,4.66,9.76,9.91,11.26,17.13,20.09,22.76,24.08,22.83,44.19,45.08,43.96,52.7
AU000000AMP6,AMP,,,,,,26.48,31.19,29.56,48.45,67.49,72.72,70.11,72.3,69.26,71.54,79.77,76.99,81.01,84.27,78.15,78.87,86.3,88.24,
AU000000ANN9,ANSELL,,,,,,0,0.81,0.81,17.31,28.99,22.76,26.92,24.31,14.62,15.22,13.68,20.05,23.29,23.78,37.98,36.14,48.23,48.68,49.9
AU000000ANZ3,ANZ GROUP HOLDINGS,,,,46.45,68.78,79.25,84.75,87.79,86.47,79.85,86.93,93.32,93.95,91.99,93.76,92.11,80.87,83.81,84.93,62.89,65.92,64.4,66.79,65
AU000000ASX7,ASX,,,,,,26.48,26.3,26.68,22.44,21.83,43.35,28.9,24.15,26.05,35.4,46.76,45.4,47.4,47.88,30.54,29.59,30.98,27.42,32.5
AU000000BEN6,BENDIGO & ADELAIDE BANK,,,,,,,27.21,25.04,19.48,52.1,52.75,59.43,58.57,52.94,48.92,48.48,61,64.54,75.1,75.53,75.27,78.04,79.53,
AU000000BHP4,BHP GROUP,,,,71.61,79.63,79.56,68.05,64.75,87.25,86.22,81.03,82.61,83.62,85.19,83.78,85.7,85.96,85.97,85.04,85.39,84.5,84.19,80.65,84.05
AU000000BLD2,BORAL,,,,,,30.47,45.41,56.8,65.1,79.27,89.5,73.87,73.67,70.45,51.38,45.77,48.55,51.5,56.39,61.13,80.22,77.61,81.63,75.28
AU000000BSL0,BLUESCOPE STEEL,,,,,,7.39,29.78,23.43,32.69,44.05,46.91,58.61,57.79,60.49,60.32,60.37,57.15,59.82,68.57,64.39,67.25,64.19,63.23,60.55
AU000000CBA7,COMMONWEALTH BK.OF AUS.,,,,40.07,69.83,74.37,73.72,71.34,56.56,55.09,69.8,85.7,81.68,86.22,88.63,89.39,91.3,91.04,93.18,85.16,85,82.36,92.64,93.63
AU000000CGF5,CHALLENGER,,,,,,28.33,27.21,26.86,22.98,22.5,21.6,26.4,24.08,23.78,24.55,24.75,29.58,32.48,58.42,26.51,25.22,24.12,22.1,20.44
AU000000CIM7,CIMIC GROUP DEAD - DELIST.11/05/22,,,,,,0,0.71,34.27,35.2,49.5,38.32,32.03,35.73,38.69,39.3,39.55,41.81,43.25,47.19,54.21,52.11,55.62,58.2,
AU000000COH5,COCHLEAR,,,,,,0,0,0,26.31,25.01,6.27,3.32,2.13,2.68,2.98,7.76,15,15.24,21.04,41.47,51.28,40.62,38.22,40.8
AU000000CPU5,COMPUTERSHARE,,,,,,0,0,0,14.63,29.11,31.26,33.2,30.83,33.31,27.19,26.07,23.09,23.46,35.48,33.91,37.54,37.37,37.48,33.43
AU000000CSL8,CSL,,,,,,0,17.54,10.58,5.52,24.23,36.76,38.61,51.32,49.14,48.88,43.23,54.25,47.88,42.88,42.53,38.69,39.9,39.11,38.97
AU000000CSR5,CSR,,,,,,,0,17.92,24.04,49.94,57.05,54.43,46.93,43.99,46.66,43.24,47.94,53.79,47.79,58.71,65.87,63.74,65.13,64.87
AU000000DOW2,DOWNER EDI,,,,,,0,0,0,1.32,20.43,53.14,61.94,58.72,54.98,54.75,56.65,63.37,69.21,63.61,62.27,62.92,67.46,68.01,70.15
AU000000DXS1,DEXUS STAPLED UNITS,,,,,,,20.77,63.91,61.24,73.2,77.43,78.78,84.49,76.4,79.2,76.83,77.95,86.6,84.54,86.49,81.84,86.42,91.06,91.94
AU000000ELD6,ELDERS,,,,,,0,0,0,4.45,1.49,3.21,0.51,5.68,6.65,7.17,6.52,1.57,2.74,1.85,9.09,12.37,29.5,32.61,22.01
AU000000GMG2,GOODMAN GROUP,,,,,,,8.23,0,0,0,16.06,24.57,31.01,54.23,22.34,14.86,11.68,45.37,21.96,51.54,40.65,56.67,56.7,61.04
AU000000GPT8,GPT GROUP STAPLED UNITS,,,,,,30.36,29.16,31.07,36.96,71.85,71.08,76.79,75.65,80.85,78.5,78.6,82.81,86.56,86.55,83.33,87.21,87.58,86.69,86.17
AU000000HVN7,HARVEY NORMAN HOLDINGS,,,,,,0,0,0,0,2.01,8.31,1.59,1.54,1.25,1.13,22.79,23.29,20.34,16.96,24.17,24.24,19.74,12.6,7.2
AU000000IAG3,INSURANCE AUS.GROUP,,,,,,40,28.28,34,75.43,84.84,82.67,86.4,81.84,78.97,80.86,76.61,74.64,77.23,74.77,44.9,45.17,42.31,45.3,46.61
AU000000ILU1,ILUKA RESOURCES,,,,,,30.2,24.37,25.95,26.65,46.1,47.59,43.3,46.92,42.83,51.39,50.77,51.41,47.13,53.48,66.72,64.11,61.68,67.16,66.45
AU000000IPL1,INCITEC PIVOT,,,,,,,,,42.96,30.02,34.4,38.44,40.17,39.15,35.99,37.05,49.81,51.02,51.58,56.03,54.68,57.3,53.96,51.9
AU000000JHX1,JAMES HARDIE INDUSTRIES CDI,,,,,,,19.12,17.36,9.27,21.91,27.21,26.57,13.09,10.42,10.09,8.49,8.52,26.9,26.27,25.18,24.27,31.99,33.75,32.83
AU000000LLC3,LENDLEASE GROUP STAPLED UNITS,,,,,,0,25.19,36.98,33.84,62.2,65.62,57.84,53.41,46.53,45.55,52.3,55.91,58.48,84.94,81.94,79.77,70.42,66.76,59.8
AU000000MGR9,MIRVAC GROUP STAPLED UNITS,,,,,,10,50.43,11.52,75.49,88.16,89.26,95.53,87.14,87.99,91.09,92.74,94.22,95.52,96.17,96.46,94.26,96.03,83.83,76.9
AU000000MQG1,MACQUARIE GROUP,,,,,,,33.85,26.68,28.67,65.41,73.98,76.77,82.28,78.59,78.24,82.75,86.43,90.1,88.57,85.31,85.14,89.77,89.33,88.7
AU000000MTS0,METCASH,,,,,,,,,12.4,25.01,42.2,41.23,51.11,18.64,8.48,13.06,27.57,34.16,19.23,30.58,34.62,39.18,42.62,39.79
AU000000NAB4,NATIONAL AUS.BANK,,,,33.41,59.52,62.56,96.11,87.29,83.89,91.61,81.72,92.78,92.32,91.92,92.94,94.75,95.28,95.35,95.94,88.04,87.86,81.42,82.61,79.88
AU000000NCM7,NEWCREST MINING DEAD - DELIST.08/11/23,,,,,,46.42,20.98,68.39,64.49,77.25,75.8,72.86,69.92,74.71,70.12,59.28,39.18,42.51,40.23,44.75,55.42,58.43,57.13,51.51
AU000000ORG5,ORIGIN ENERGY (EX BORAL),,,,,,26.28,25.08,27.19,59.2,46.7,45.11,60.36,60.4,47.86,51.9,40.21,40.12,54.9,54.78,48.52,47.97,46.7,56.54,53.4
AU000000ORI1,ORICA,,,,15.89,49.04,62.78,64.93,63.42,54.75,58.04,61.68,64.43,59.68,63.21,63.59,57.15,58.62,56.09,55.86,57.99,53.52,51.45,47.63,52.44
AU000000PPT9,PERPETUAL,,,,,,26.48,26.3,26.68,23.79,24.55,28.95,18.28,17.62,37.87,40.07,41.26,41.63,54.06,56.58,51.32,64.18,67.93,69.77,76.35
AU000000QAN2,QANTAS AIRWAYS,,,,,,1.93,16.96,23.93,36.63,63.34,69.64,61.37,53.06,57.16,55.83,63.36,60.97,71.45,77.42,75.52,74.85,70.11,65.73,64.16
AU000000QBE9,QBE INSURANCE GROUP,,,,,,28.33,27.21,36.29,37.24,36.81,35.96,65.39,58.95,55.98,59.18,60.54,67.89,75.64,73.87,68.91,92.65,90.49,96.46,95.27
AU000000SGM7,SIMS,,,,,,,,,36.31,48.28,58.58,57.76,61.79,60.33,58,61.83,62.86,69.75,66.72,67.11,65.91,74.24,71.93,73.17
AU000000SGP0,STOCKLAND STAPLED UNITS,,,,,,0,0,5.42,71.71,78.19,97.6,97.04,94.84,86.44,85.75,86.93,85.88,86.7,91.54,90.55,91.08,90.44,86.77,84.5
AU000000SHL7,SONIC HEALTHCARE,,,,,,0,0,0,0,2.12,5,10.95,13.89,28.48,30.3,45.48,62.36,61.47,40.86,58.8,60.04,77.14,79.11,78.88
AU000000STO6,SANTOS,,,,,,32.26,1.56,8.65,50.48,68.82,67.91,56.29,54.15,54.49,55.74,56.4,56.12,44.72,50.51,47.61,43.87,50.95,46.65,45.23
AU000000SUN6,SUNCORP GROUP,,,,,,28.33,27.21,26.86,34.12,34.76,34.54,34.49,42.17,35.86,37.01,31.47,52.8,58.79,62.51,41.34,41.82,42.97,76.82,81.55
AU000000TAH8,TABCORP HOLDINGS,,,,,,3.7,6.94,14,22.41,20.33,39.14,32.31,24.36,26.94,24.71,28.61,26.96,42.66,43.11,53.42,65.45,60.72,66.16,65.68
AU000000TCL6,TRANSURBAN GROUP STAPLED UNITS,,,,,,11.16,7.91,11.02,48.3,76.66,81.5,77.51,77.32,75.85,77.68,83.88,76.84,70.96,68,59.22,67.35,89.44,88.45,88.63
AU000000TLS2,TELSTRA GROUP,,,,,,49.35,49.19,60.32,52.12,64.35,59.87,78.71,77.86,79.72,80.22,84.07,86.25,78.13,77.63,79.58,75.09,72.25,71.72,70.46
AU000000WBC1,WESTPAC BANKING,,,,40.31,89.75,88.68,88.35,82.93,82.39,87.59,83.62,85.61,83.03,90.77,90.28,85.84,91.52,94.04,94.74,85.55,83.98,80.65,81.56,89.95
AU000000WES1,WESFARMERS,,,,,,,7.85,37.21,55.15,52.46,57.55,58.06,44.89,52.84,60.17,65.85,58.36,70.39,67.74,78.9,74.95,67.35,67.89,60.81
AU000000WOR2,WORLEY,,,,,,0,0,0,0,20,33.89,39.54,53.56,59.46,73.57,75.35,80.53,79.58,65.58,77.89,73.07,54.02,54.33,70.25
AU000000WOW2,WOOLWORTHS GROUP,,,,,,,37.24,34.4,59.1,61.67,68.59,79.84,69.57,71.15,72.94,72.3,74,55.73,63.02,64.15,61.28,60.17,65.9,63.82
AU0000088338,AMPOL,,,,,,0,9.67,0,31.45,40.96,40.29,38.46,30.45,35.04,37.5,40.25,39.84,39.38,33.67,47.97,61.27,63.21,61.43,59.08
AU0000224040,WOODSIDE ENERGY GROUP,,,,,,13.33,16.53,25.48,47.29,43.76,42.8,52.35,52.68,56.06,54.24,55.52,65.71,52.32,59.32,60.52,57.3,56.43,55.77,55.3
BE0003470755,SOLVAY,,,,15.89,52.01,14.43,37.11,40.91,35.31,51.71,49.11,56.38,42.06,85.58,87.07,86.56,66.92,57.67,60.72,88.36,89.14,80.74,83.93,85.75
BE0003565737,KBC GROUP,,,,63.93,82.81,87.13,84.1,83.57,84.37,91.86,84.56,87.96,91.71,84.36,83.84,82.95,83.77,90.23,93.81,91.58,91.63,90.11,90.42,89.43
BE0003593044,COFINIMMO,,,,0,0,0,27.35,10.14,35.29,47.75,52.57,66.72,70.95,71.23,73.96,73.15,73.61,73.52,76.75,85.33,87.35,86.88,83.58,80.3
BE0003717312,SOFINA,,,,,,,,,21.9,0,0,0,0,0,0,0,0,0,0,0,0,4.18,17.8,20.72
BE0003735496,ORANGE BELGIUM,,,,0,0,0,0,0,0,26.71,36.71,39.94,37.4,44.82,44.07,42.71,18.32,14.17,11.53,25.2,36.14,34.52,36.48,35.3
BE0003739530,UCB,,,,,,,0,0,24.44,27.18,49.92,49.32,55.22,48.49,48.92,46.92,58.92,61.53,73.19,74.22,75.22,78.67,77,74.81
BE0003755692,AGFA-GEVAERT,,,,52.83,58.77,58.63,48.66,36.53,48.33,42.06,43.58,43.1,57.47,58.26,58.02,56.03,60.1,56.41,59.53,59.51,57.28,62.7,62.43,52.72
BE0003797140,GBL NEW,,,,0,0,0,0,0,0,0,0,0,3.27,3.22,9.03,5.08,9.03,10.16,10.16,16.51,47.89,59.78,61.01,54.35
BE0003810273,PROXIMUS,,,,4.35,1.58,1.09,32.77,19.6,26.03,80.37,83.3,82.14,79.11,81.53,84.1,81.82,81.9,74.87,75.14,69.31,67.19,69.34,73.37,72.4
BE0974256852,COLRUYT GROUP,,,,19.01,26.79,36.2,51.62,63.82,34.72,40.8,42.48,46.34,45.4,44.68,40.49,56.79,70.25,64.42,58.86,87.98,81.59,82.43,88.79,92.71
BE0974258874,BEKAERT (D),,,,10.12,2.14,0,26.39,22.19,12.68,36.39,33.46,29.62,24.57,22.64,25.49,15.08,36.19,36.52,46.88,50.88,50.9,52.69,53.24,57.09
BE0974264930,AGEAS (EX-FORTIS),,,,,,,80.17,82.88,83.02,26.21,47.89,48.9,48.62,47.05,48.13,27.7,27.02,26.81,52.95,35.02,83.69,82.6,80.75,80.41
BE0974293251,ANHEUSER-BUSCH INBEV,,,,0,0,1.6,62.66,39.09,55.07,50.82,63.54,63.2,58.83,54.18,57.82,54.26,64.85,60.43,52.34,54.27,52.67,65.1,90.31,82.98
BE0974320526,UMICORE,,,,,,,56.11,52.06,55.88,60.05,89.37,90.06,93.13,90.1,89.93,75.89,84.81,80.95,81.14,86.65,93.53,92.19,86.08,86.2
BMG0692U1099,AXIS CAPITAL HDG.,,,,,,28.33,27.21,26.86,22.98,22.5,21.6,21.04,19.58,18.7,19.13,18.95,19.82,22.38,20.61,1.86,4.58,9.21,75.98,79.62
BMG2108M2182,CHINESE ESTATES HDG.,,,,,,,,,21.9,18.62,18.52,17.63,16.52,16.48,17.56,25.99,25.57,60.47,69.36,29.23,22.98,23.76,23.02,29.2
BMG2178K1009,CKI HOLDINGS,,,,,,0,0,0,0,0,0,0,0.61,0.61,0.59,0.53,0.52,10.61,11.32,18.46,17.18,26.83,27.95,24.16
BMG2442N1048,COSCO SHIPPING PORTS,,,,,,,,,9.17,8.99,4.77,3.74,4.73,11.98,13.72,35.74,41.61,59.85,53.4,51.35,57.44,61.48,69.58,80.97
BMG3122U1457,ESPRIT HOLDINGS,,,,0,0,0,0,0,0,8.81,16.33,26.36,25.8,27.17,56.53,55.62,53.94,58.67,48.37,55.98,69.14,67.46,68.13,63.63
BMG3223R1088,EVEREST GROUP,,,,,,28.33,27.21,26.86,22.98,22.5,21.6,21.04,19.58,18.7,19.13,18.95,19.82,20.39,18.68,3.09,13.53,11.8,15.13,17.88
BMG4593F1389,HISCOX DI,,,,,,28.33,27.21,26.86,25.66,30.89,27.46,30.93,33.91,40.08,40.47,38.6,44.93,41.48,38.36,19.62,21.6,23.94,28.83,28.53
BMG524401079,KERRY PROPERTIES,,,,,,0,7.29,15.17,10.08,19.64,18.14,29.55,47.35,60.12,64.97,64.83,65.19,72.65,74.27,83.27,89.88,86.89,87.72,94.73
BMG6359F1370,NABORS INDUSTRIES,,,,0,0,0,0,0,0,0,0,0,0,0,0,5.15,4.02,4.34,28.4,29.89,41.1,64.44,88.07,69.43
BMG668971101,NWS HOLDINGS,,,,,,,0,0,17.62,23.23,27.55,28.57,22.1,27.48,26.18,31.34,36.68,38.96,41.86,54.95,50.31,63.4,,65.32
BMG677491539,ORIENT OVERSEAS (INTL.),,,,,,10.53,0,7.02,49.68,44.97,40.63,43.18,52.95,53.22,51.77,69.51,72.12,71.8,70.94,77.34,78.07,78.58,79.68,79.01
BMG684371393,PACIFIC BASIN SHIP.,,,,,,,,,18.74,29.02,14.07,18.29,19.63,21.66,20.71,19.94,28.89,29.28,28.16,31.68,38.22,48.82,42.52,43.96
BMG7496G1033,RENAISSANCERE HDG.,,,,,,28.33,27.21,26.86,22.98,22.5,21.6,21.04,20.3,19.29,19.9,19.5,21.01,22.38,20.61,1.86,6.16,4.93,5.77,4.23
BMG7997W1029,SEADRILL,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.95,18.01,37.51,
BMG8063F1068,SHANGRI-LA ASIA,,,,,,0,26.9,16.37,17.52,37.59,34.92,60.3,56.11,62.75,67.32,63.45,71.09,75.17,79.11,79.12,82.25,71.79,69.47,67.95
BMG812761002,SIGNET JEWELERS,,,,0,0,0,5.88,0,15.71,28.82,31.69,27.59,27.64,29.48,29.72,32.02,46.98,49.29,55.05,58.04,53.89,55.51,54.61,53.5
BMG850801025,STOLT-NIELSEN,,,,0,0,0,0,0,0,0,2.44,7.8,9.9,7.49,7.2,3.22,4.56,5.24,5.57,17.4,50.18,58.87,37.76,28.02
BMG9618E1075,WHITE MOUNTAINS IN.GP.,,,,,,,,,22.98,22.5,21.6,21.04,19.58,18.7,19.13,18.95,19.82,20.39,18.68,0,20.77,27,32.5,31.06
BMG988031446,YUE YUEN INDL.HDG.,,,,,,0,0,0,6.2,5.19,3.48,5.67,2.79,0.54,1.54,15.2,23.94,23.11,20.84,20.93,28.98,29.51,40.62,49.52
BRBBDCACNPR8,BANCO BRADESCO PN,,,,,,,,,74.11,91.58,78.7,84.85,86.45,81.49,80.31,83.16,88.79,95.72,96.05,89.08,88.37,85.8,85.97,83.08
BRCMIGACNPR3,CIA ENERGETICA DE MINAS GERAIS PN,,,,,,,,,83.94,74.26,77.18,65.01,60.34,85.63,85.91,83.43,85.6,86.37,87.5,89.2,92.95,90.77,89.15,92.4
BRITUBACNPR1,ITAU UNIBANCO HOLDING PN,,,,,,,,,61.73,85.81,81.33,85.32,83.8,85.42,86,88.21,88.17,96.28,95.29,87.5,87.64,84.56,85.68,96.19
BRPETRACNPR6,PETROLEO BRASILEIRO PN,,,,42.92,56.1,62.48,55.19,40.36,52.68,61.9,62.43,63.23,66.56,62.8,62.26,65.41,64.09,69.75,67.59,61.84,64.55,61.36,64.76,63.39
BRVALEACNOR0,VALE ON,,,,,,,,,87.64,83.88,83.01,89.32,88.58,87.26,86.83,84.05,80.68,80.67,78.88,83.99,84.15,93.06,94.18,93.77
CA00208D4084,ARC RESOURCES,,,,,,0,0,0,12.11,25.32,39.28,37.92,40.01,39.58,32.08,33.83,32.45,34.17,40.6,38.23,36.7,34.8,33.78,33.76
CA0084741085,AGNICO-EAGLE MNS. (NYS),,,,,,0,0,0,6.59,33.75,70.56,76.26,75.18,73.66,73.32,75.93,75.98,71.56,68.32,66.96,64.88,60.43,62.34,60.77
CA01626P1484,ALIMENTATION COUCHE TARD,,,,,,,11.72,0,10.81,11.22,9.7,8.83,21.48,18.2,14.88,20.93,18.53,28.02,28.25,47.69,55.39,52.16,50.79,62.65
CA05534B7604,BCE,,,,,,29.35,22.14,41.74,79.07,81.18,76.41,87.86,84.2,84.19,83.54,82.55,86.87,87.2,84.37,84.24,83.14,83.01,82.69,81.3
CA0636711016,BANK OF MONTREAL,,,,59.17,73.03,86.95,62.34,67.34,68,87.82,84.12,85.65,84.48,89.72,91.23,91.37,92.36,92.1,95.62,95.27,94.45,97.14,95.55,94.17
CA0641491075,BK.OF NOVA SCOTIA,,,,73.73,81.77,86.9,27.21,67.62,62.05,75.55,79.27,89.27,88.01,86.09,86.69,87.49,89.26,89.35,90.53,83.13,95.55,94.87,95.8,94.54
CA0679011084,BARRICK GOLD (NYS),,,,,,,60.93,71.4,61.33,68.59,76.23,78.64,78.18,81.43,80.03,81.31,82.21,86.52,85.31,84.92,84.59,84.44,81.96,72.06
CA0717341071,BAUSCH HEALTH (NYS) COMPANIES,,,,,,0,0,0,0,0,0,0,0,0,0,0,7.83,19.28,13.69,53.13,61.89,71.62,,
CA09228F1036,BLACKBERRY (NYS),,,,,,,0,0,0,0,0,76.92,70.7,69.54,67.51,73.23,66.06,64.9,62.19,63.13,64.22,68.88,67.56,68.45
CA0977518616,BOMBARDIER 'B',,,,,,,8.18,5.3,32.84,76.03,76.22,76.69,73.86,78.44,82.41,84.48,84.62,83.09,84.44,84.92,80.82,81.85,80.74,84.5
CA11271J1075,BROOKFIELD A (NYS),,,,,,26.48,26.3,26.68,30.03,30.64,36.13,52.84,51.45,51.87,50.8,66.03,67.01,70.18,72.28,83.45,83.12,82.12,82.86,82.68
CA1247651088,CAE,,,,,,,0,0,0,38.64,47.73,65.91,68.18,52.27,75,65.91,52.27,38.81,38.66,40.95,52.38,55.94,53.6,55.21
CA12532H1047,CGI,,,,,,0,0,0,0,0,1.2,35.1,58.06,66.44,65.73,63.47,53.52,53.91,44.96,46.83,65.54,73.54,72.5,73.37
CA1254911003,CI FINANCIAL,,,,,,26.48,26.3,26.68,21.9,18.62,18.52,17.63,16.52,16.48,17.56,17.81,17.87,49.5,45.22,25.24,27.49,26.67,17.91,23.16
CA13321L1085,CAMECO,,,,,,50,50,50,62.5,85.71,86.9,89.68,84.13,88.1,83.73,85.42,85.42,85.42,83.33,85.32,80.36,85.71,82.25,79.52
CA1360691010,CANADIAN IMP.BK.COM.,,,,38.86,88.63,89.92,48.16,81.64,82.42,72.45,79.52,89.47,87.72,87.07,88.36,91.15,93.52,93.41,93.11,86.96,86.51,83.07,83.78,80
CA1363751027,CANADIAN NATIONAL RY.,,,,15.05,5.16,6.94,6.49,12.3,57.88,53.54,53.52,54.68,53.12,73.91,74.54,78.32,77.99,75.42,79.61,79.79,72.19,72.61,75.14,
CA1363851017,CANADIAN NATURAL RES.,,,,,,,40.4,20.51,38.12,45.56,44.49,42.64,43.57,40.71,42.99,40.94,38.52,54.02,55.67,66.11,63.88,61.28,61.75,51.34
CA13646K1084,CANADIAN PACIFIC KANSAS CITY,,,,21.06,28.37,46.18,31.12,26.34,25.64,25,29.94,21.78,30,53.86,38.29,40.45,51.39,50.31,69.69,76.94,78.77,77.47,76.21,76.5
CA1366812024,CANADIAN TIRE 'A',,,,,,0,0,33.17,53.56,60.16,63.55,63.56,66.49,66.67,74.45,45.36,48.82,61.94,68.26,68.77,84.11,81.75,67.06,66.53
CA1367178326,CANADIAN UTILITIES 'A',,,,,,0,0,0,3.67,2.71,5.86,6.38,10.08,30.65,33.3,33.39,22.71,22.74,12.65,19.6,19.18,23.23,23.06,22.23
CA15101Q1081,CELESTICA SBVTG.SHS.,,,,,,0,0,0,0,18.57,64.53,66.43,67.33,66.91,76.6,72.65,69.13,68.31,79.06,78.47,82.41,84.44,85.21,
CA2849025093,ELDORADO GOLD,,,,,,0,0,0,9.38,16.43,16.6,19.39,45.87,46.55,45.15,40.46,49.62,43.3,53.19,50.86,62.2,71.28,67.45,68.13
CA2918434077,EMPIRE 'A',,,,,,,,,7.81,9.4,48.4,44.97,47.14,54.55,33.06,32.63,35.58,34.41,33.6,35.52,33.07,48.05,47.08,58.2
CA29250N1050,ENBRIDGE,,,,74.6,73.81,70.3,77.07,80.44,74.19,70.65,76.98,77.18,85.39,81.25,86.31,84.7,87.42,96.37,95.74,95.13,97.06,95.93,94.69,78.04
CA2927661025,ENERPLUS,,,,,,0,0,0,4.57,26.45,28.97,32.45,31.07,40.44,43.67,43.67,39.77,47.55,44.7,42.31,45.79,40.92,41.62,46.1
CA2935701078,ENSIGN EN.SVS.,,,,,,0,0,0,0,22.15,24.25,24.91,50.27,42.03,44.11,32.56,34.08,34.84,35.51,38.52,35.83,29.6,25.76,22.32
CA3039011026,FAIRFAX FINL.HDG.,,,,,,28.33,27.21,26.86,22.98,22.5,21.6,21.04,19.58,18.7,19.13,18.95,19.82,22.38,20.61,1.86,1.63,5.5,4.77,6.6
CA3180714048,FINNING INTL.,,,,,,0,0,0,0,25.3,27.51,17.71,14.74,13.32,7.83,8.68,13.31,19.54,24.82,31.25,33.58,38.33,36.24,46.52
CA3359341052,FIRST QUANTUM MRLS.,,,,,,0,0,16.75,15.67,37.64,58.26,59.06,55.38,56.47,53.53,56.31,55.36,65.15,67.84,69.27,75.28,72.87,76.81,81.37
CA3495531079,FORTIS,,,,,,0,0,5.67,1.43,3.98,0.19,0.62,27.5,24.86,24.98,51.68,55.73,58.22,56.15,62.79,70.81,68.05,83.32,70.1
CA3759161035,GILDAN ACTIVEWEAR,,,,,,0,1.67,1.54,22.18,29.07,49.78,49.32,49.08,51.45,49.53,49.05,59.02,81.41,80.07,83.36,85.6,78.21,82.06,80.04
CA39138C1068,GREAT WEST LIFECO,,,,,,28.33,27.21,26.86,23.51,25.1,22.35,22.49,26.04,23.57,23.07,33.93,42.7,45.84,70.4,36.92,35,39.79,40.98,
CA4495861060,IGM FINL.,,,,,,26.48,26.3,26.68,21.9,18.62,18.52,17.63,16.52,44.04,46.38,64.45,71.42,71.26,77.12,85.61,96.69,95.19,95.92,95.06
CA4530384086,IMPERIAL OIL,,,,16.4,25.37,22.07,44.59,50.47,44.74,54.11,64.13,59.92,62.12,57.95,54.46,55.56,60.05,55.02,54.53,56.84,54.09,51.98,52.69,50.17
CA45823T1066,INTACT FINANCIAL,,,,,,,,,22.98,22.5,27.33,33.75,30.31,35.15,36.48,36.17,32.52,33.02,53.17,18.63,32.92,37.44,44.67,43.49
CA4969024047,KINROSS GOLD (NYS),,,,,,0,37.86,43.41,51.77,59.16,56.31,60.36,60.39,65.45,68.8,74.58,78.78,77.54,70.32,70.06,71.64,67.07,73.4,78.58
CA5394811015,LOBLAW,,,,,,10.42,10.42,9.47,53.96,68.06,68.54,70.63,71.09,80.37,82.97,86.96,87.99,82.06,77.71,61.55,63.7,67.65,66.52,62.86
CA5592224011,MAGNA INTL.,,,,,,0,3.65,7.73,12.53,12.14,15.35,8.35,20.2,22.52,22.08,21.28,29.19,32.11,37.03,37.47,34.86,45.19,53.32,51.4
